Pathway,TCGA-05-4244-01A,TCGA-05-4249-01A,TCGA-05-4250-01A,TCGA-05-4382-01A,TCGA-05-4384-01A,TCGA-05-4389-01A,TCGA-05-4390-01A,TCGA-05-4395-01A,TCGA-05-4396-01A,TCGA-05-4397-01A,TCGA-05-4398-01A,TCGA-05-4402-01A,TCGA-05-4403-01A,TCGA-05-4405-01A,TCGA-05-4410-01A,TCGA-05-4415-01A,TCGA-05-4417-01A,TCGA-05-4418-01A,TCGA-05-4420-01A,TCGA-05-4422-01A,TCGA-05-4424-01A,TCGA-05-4425-01A,TCGA-05-4426-01A,TCGA-05-4427-01A,TCGA-05-4430-01A,TCGA-05-4432-01A,TCGA-05-4433-01A,TCGA-05-4434-01A,TCGA-05-5420-01A,TCGA-05-5423-01A,TCGA-05-5425-01A,TCGA-05-5428-01A,TCGA-05-5429-01A,TCGA-05-5715-01A,TCGA-35-3615-01A,TCGA-35-4122-01A,TCGA-35-4123-01A,TCGA-35-5375-01A,TCGA-38-4625-01A,TCGA-38-4626-01A,TCGA-38-4627-01A,TCGA-38-4628-01A,TCGA-38-4629-01A,TCGA-38-4630-01A,TCGA-38-4631-01A,TCGA-38-4632-01A,TCGA-38-6178-01A,TCGA-38-7271-01A,TCGA-38-A44F-01A,TCGA-44-2655-01A
SA_B_CELL_RECEPTOR_COMPLEXES,0.214525871,0.25644068,0.194484617,0.053460988,0.000305542,-0.199078175,-0.109570032,0.031815086,-0.017911317,-0.144014884,0.413198706,0.012734785,0.251243247,0.361433977,0.230489561,-0.420723735,0.226027424,-0.336077012,-0.119754338,-0.112573442,-0.039627017,0.184028835,0.290418478,0.182770297,-0.185603837,-0.320893173,0.476809399,0.099609502,-0.394416833,-0.179363631,-0.268836295,-0.393445563,-0.031776862,0.161156093,-0.454530015,-0.293896601,-0.196999136,-0.458923535,-0.141980807,0.368985417,0.070940149,-0.245811312,-0.001137252,-0.299027452,-0.2846489,-0.274279146,0.05898542,0.344624289,-0.230077822,0.129196892
SA_CASPASE_CASCADE,-0.021461029,0.012832111,0.369024724,-0.083388169,-0.18554169,-0.120746924,-0.465524353,0.342751111,0.319197056,0.166168221,0.00238365,0.252946483,0.080304382,0.39549684,0.566108749,0.491771423,-0.133826982,0.092108769,-0.42029799,0.150908253,0.219534841,0.191161781,-0.198201953,0.302339662,-0.295054049,0.062888482,0.416480286,0.38543556,0.320809878,0.0736954,0.200513965,0.093459659,-0.229331503,-0.153675652,-0.22590998,-0.115912515,0.119424076,-0.182588773,-0.043950389,0.1645489,-0.399254702,-0.338438837,-0.041116309,-0.126505031,-0.1161632,0.187261406,-0.036198575,0.250610824,-0.225217918,-0.123045874
SA_FAS_SIGNALING,0.244898672,-0.308103641,0.640452942,0.15344008,-0.480644292,0.411753865,-0.596738434,0.324903632,-0.053307966,0.231259715,0.456454678,0.300587716,0.143281957,0.14410704,0.453721505,-0.117373536,0.222418215,0.20447984,-0.740097613,-0.119183413,-0.160922805,0.404560748,0.18708001,0.080963986,0.113728676,-0.422428385,0.140667166,0.355046759,0.495760624,0.359246222,0.153623973,0.355224834,0.156671718,0.260651998,-0.069591118,0.481279239,0.608383642,0.020657,0.030321603,-0.091645829,0.103580055,0.110416841,0.487000621,-0.612589819,0.216130045,0.451951945,-0.279621321,0.362281193,0.334001948,0.36064395
SA_G1_AND_S_PHASES,0.235064187,0.113328733,0.165630022,0.08527855,-0.196274795,0.542621498,0.452364649,0.611710292,-0.056256323,0.427135639,-0.056438505,0.02315044,0.003795968,0.049567884,-0.246480118,-0.053948778,-0.126375704,0.27468909,0.474336522,0.144518329,0.049109049,-0.175438614,0.426919012,0.271130501,0.419718988,0.408857747,0.224796024,0.22824892,0.162590527,0.127586245,0.341198122,-0.091540559,0.143905906,0.193560053,-0.211337848,0.119360604,0.196938959,-0.089269864,0.388967905,-0.199710807,-0.230017627,0.655476541,0.178664234,0.26354055,0.251351831,0.200134617,-0.382116059,0.021751321,-0.288292617,0.066368033
SA_G2_AND_M_PHASES,0.349503956,-0.602605005,0.668678126,-0.348899286,-0.629524158,0.183373297,0.073777375,0.177205406,-0.371189328,0.219834119,-0.536007475,-0.275851863,-0.089515214,-0.49986561,-0.55879458,0.538637299,-0.214227078,0.177993248,0.053962734,-0.164409534,-0.222462061,0.599269402,0.534883561,0.428236533,0.009587543,-0.27164212,-0.095126354,-0.051829781,-0.019258204,-0.099794226,0.095671181,-0.264772431,0.192708456,-0.302200565,-0.631112103,0.354900552,0.190524742,0.320653751,0.432249911,-0.488968605,0.042670703,-0.036552347,0.491872327,0.084110159,0.309820092,0.168366209,-0.266561766,0.052527076,-0.224302482,-0.241593607
SA_MMP_CYTOKINE_CONNECTION,0.031014816,0.441338325,-0.10249916,0.425572107,0.39589754,0.255223771,-0.375758794,0.103005384,-0.263691935,-0.496914464,0.662254974,0.042017505,0.16615871,0.205305165,0.47041838,-0.174532746,0.574275811,0.109278276,-0.477855016,0.104506188,0.253998898,0.522570965,0.397870854,-0.278996445,0.362972057,-0.157758999,0.463514401,0.609281524,0.450046596,0.226517183,0.305530797,-0.088446195,-0.548616112,-0.160044031,-0.261753698,0.496902397,0.53590318,-0.174414698,0.088905149,0.586717053,0.2497542,-0.029579533,0.493529077,-0.381317772,-0.441144743,0.45569065,-0.067454719,0.663179456,0.426192046,-0.300244953
SA_PROGRAMMED_CELL_DEATH,-0.115139081,0.310388679,0.088282652,0.035273815,-0.361270617,0.267158252,-0.210966976,-0.021147743,-0.268016898,0.182224722,-0.059003418,0.425947126,0.358951699,0.011914037,0.061199042,-0.044902485,-0.283735672,0.246905269,0.108357607,-0.38402596,0.218783516,0.010966048,-0.17174568,0.276119377,0.362910953,0.280671724,0.207385847,-0.135416606,0.152288933,0.090238985,0.488318182,0.234458477,0.317307304,0.263144424,-0.18152865,0.260036168,0.171615078,0.316759401,0.211338592,0.181349058,0.19314277,0.403397073,0.131542214,0.103263809,0.462318388,0.254445611,-0.124445338,0.177731248,0.076461513,-0.051444617
SA_PTEN_PATHWAY,0.302081554,0.515344448,0.149289358,-0.100927855,0.580518358,0.119563746,0.011340315,-0.11639917,-0.12413962,-0.071690235,0.059769876,0.138967409,0.121925114,0.268369977,0.359228622,-0.082804583,0.261998055,-0.500836022,-0.489939587,-0.033745901,0.430280366,-0.014074933,0.335366586,0.180564518,-0.015486486,0.005704956,0.468440543,-0.032956272,-0.397777705,0.033836937,-0.112592996,-0.32283186,-0.209403192,0.221090363,-0.4619501,-0.300467794,-0.204622255,-0.610363394,-0.225707268,0.473854377,0.274419816,-0.203141588,-0.096745521,-0.255987671,-0.314816819,-0.099295187,0.397503784,0.45906206,-0.523272776,0.073756866
SA_REG_CASCADE_OF_CYCLIN_EXPR,0.187130395,-0.477828545,0.464788972,0.022882403,-0.553674394,0.344024639,0.496293049,0.617835204,-0.152326997,0.577608444,0.339146023,-0.27428816,-0.555509454,-0.438089656,0.219089899,0.282320212,-0.410701083,0.205405577,0.557630482,-0.044004613,-0.218589861,-0.323135474,0.277201426,0.182988265,0.076570097,0.257256299,0.091729866,0.207000843,0.236017682,0.226608805,0.308276047,0.336416483,-0.107501789,-0.365913799,-0.586740271,0.390927425,0.418000323,0.261983004,0.556212188,-0.524254832,-0.191597321,0.519426487,0.477328922,0.495343114,0.49450957,0.558711876,-0.422610625,-0.289482973,-0.401642616,-0.698055497
SA_TRKA_RECEPTOR,0.079577668,0.190986784,0.437471278,-0.009580064,-0.028935673,0.248091426,-0.027691513,0.090224943,-0.170014586,0.228932437,0.091631066,0.182050652,0.222136369,0.305491258,0.090301676,0.237941131,0.337786164,-0.036669075,-0.080081497,-0.399092396,0.034825175,0.164478554,0.366831803,0.511133057,0.494220951,0.205586004,0.325764092,0.064559813,-0.32552506,-0.295559686,-0.078725855,-0.399062761,-0.245296652,-0.246967136,-0.305480936,0.100689503,-0.134423578,-0.435291167,0.230476609,0.465476432,0.490275107,0.224975753,0.470740914,-0.075579705,-0.122023828,0.126835109,-0.042894832,0.411656609,-0.358121293,-0.047836734
