"Pathway","Delta_BIC","Components","Evidence"
"KEGG_PROTEASOME",38.3241049563049,3,"Very Strong"
"KEGG_RIBOSOME",30.362273767649,2,"Very Strong"
"KEGG_MEDICUS_REFERENCE_DEPHOSPHORYLATION_OF_KINETOCHORE",30.3266561393003,2,"Very Strong"
"KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION",28.9939574227064,2,"Very Strong"
"KEGG_MEDICUS_ENV_FACTOR_PHIP_TO_DNA_ADDUCTS",27.854201501975,2,"Very Strong"
"KEGG_MEDICUS_REFERENCE_CENPE_INTERACTION_WITH_NDC80_COMPLEX",25.1339225921439,2,"Very Strong"
"KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION",24.475735371327,2,"Very Strong"
"KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_OUTER_KINETOCHORE",23.78228100159,2,"Very Strong"
"KEGG_MEDICUS_REFERENCE_FE3_FERRITIN_TRANSPORT",22.9687365626794,2,"Very Strong"
"KEGG_MEDICUS_REFERENCE_RECRUITMENT_AND_FORMATION_OF_THE_MCC",20.7299462511209,2,"Very Strong"
"KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS",20.3642038451439,2,"Very Strong"
"BIOCARTA_DICER_PATHWAY",19.2093402714094,2,"Very Strong"
"KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION",18.9387292847865,2,"Very Strong"
"KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION",18.1034507566783,2,"Very Strong"
"BIOCARTA_PAR1_PATHWAY",17.9701634296671,2,"Very Strong"
"KEGG_PARKINSONS_DISEASE",16.811233633726,3,"Very Strong"
"KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG",16.5993633185102,2,"Very Strong"
"KEGG_MEDICUS_REFERENCE_MODIFYING_OF_CONDENSIN_I_SUBUNITS",16.1364966627525,3,"Very Strong"
"BIOCARTA_PROTEASOME_PATHWAY",16.0139167776879,2,"Very Strong"
"KEGG_MEDICUS_REFERENCE_LONG_PATCH_BER",15.3821173850154,2,"Very Strong"
"KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_III",15.3807702389992,2,"Very Strong"
"BIOCARTA_SKP2E2F_PATHWAY",15.0752541776169,2,"Very Strong"
"KEGG_MEDICUS_REFERENCE_HEDGEHOG_SIGNALING_PATHWAY_HH_LIGAND_SECRETION",15.0646270138072,2,"Very Strong"
"BIOCARTA_SM_PATHWAY",14.7514214370391,3,"Very Strong"
"BIOCARTA_MRP_PATHWAY",14.5074832349078,2,"Very Strong"
"KEGG_MEDICUS_ENV_FACTOR_ZN_TO_ANTEROGRADE_AXONAL_TRANSPORT",14.4881123980072,3,"Very Strong"
"BIOCARTA_TCAPOPTOSIS_PATHWAY",14.3483765458925,2,"Very Strong"
"BIOCARTA_TUBBY_PATHWAY",14.1596043917941,2,"Very Strong"
"KEGG_HUNTINGTONS_DISEASE",14.0703319295799,2,"Very Strong"
"BIOCARTA_PTC1_PATHWAY",14.0509322009939,2,"Very Strong"
"KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_INNER_KINETOCHORE",13.8473177001678,2,"Very Strong"
"KEGG_MEDICUS_REFERENCE_COHESIN_ACETYLATION",13.6061229571618,3,"Very Strong"
"KEGG_MEDICUS_REFERENCE_KINETOCHORE_MICROTUBULE_ATTACHMENT",13.582334626617,2,"Very Strong"
"KEGG_MEDICUS_REFERENCE_MICROTUBULE_DEPOLYMERIZATION_AT_THE_MINUS_ENDS",13.3172158520866,3,"Very Strong"
"KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION",12.8021974152172,2,"Very Strong"
"KEGG_MEDICUS_REFERENCE_CA2_ENTRY_STORE_OPERATED_CA2_CHANNEL",12.795614361108,2,"Very Strong"
"SA_REG_CASCADE_OF_CYCLIN_EXPR",12.6063752366811,2,"Very Strong"
"KEGG_MEDICUS_REFERENCE_ITGA_B_TALIN_VINCULIN_SIGNALING_PATHWAY",12.2846621066446,2,"Very Strong"
"KEGG_MEDICUS_REFERENCE_UCHL1_MEDIATED_HYDROLYSIS",12.1458468470724,3,"Very Strong"
"KEGG_MEDICUS_REFERENCE_SPINDLE_ASSEMBLY_CHECKPOINT_SIGNALING",11.957395191476,3,"Very Strong"
"BIOCARTA_MITR_PATHWAY",11.8799171497043,3,"Very Strong"
"KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I",11.3545379042254,2,"Very Strong"
"KEGG_MEDICUS_REFERENCE_P27_CELL_CYCLE_G1_S",11.2021722191622,3,"Very Strong"
"KEGG_MEDICUS_REFERENCE_REGULATION_OF_EXTRINSIC_APOPTOTIC_PATHWAY_XIAP",11.1172417642765,2,"Very Strong"
"KEGG_MEDICUS_REFERENCE_PYRIN_INFLAMMASOME_SIGNALING_PATHWAY",11.092464454584,2,"Very Strong"
"KEGG_DNA_REPLICATION",11.0215375712393,2,"Very Strong"
"KEGG_TASTE_TRANSDUCTION",10.9829325858746,2,"Very Strong"
"KEGG_MEDICUS_REFERENCE_OKAZAKI_FRAGMENT_MATURATION",10.9412491371845,2,"Very Strong"
"BIOCARTA_MCM_PATHWAY",10.8871315239094,2,"Very Strong"
"KEGG_MEDICUS_REFERENCE_BETA_OXIDATION_PEROXISOME_VLCFA",10.8497794823178,4,"Very Strong"
"BIOCARTA_CTL_PATHWAY",10.4750341432063,2,"Very Strong"
"BIOCARTA_MELANOCYTE_PATHWAY",10.440391659888,2,"Very Strong"
"KEGG_OXIDATIVE_PHOSPHORYLATION",10.3085030937009,2,"Very Strong"
"BIOCARTA_RANKL_PATHWAY",10.0745190283805,3,"Very Strong"
"KEGG_MEDICUS_REFERENCE_TRAIP_DEPENDENT_REPLISOME_DISASSEMBLY",9.91467090951028,2,"Strong"
"BIOCARTA_ETC_PATHWAY",9.86416139353156,2,"Strong"
"KEGG_MEDICUS_REFERENCE_DISASSEMBLY_OF_MCC",9.81634674043168,2,"Strong"
"KEGG_MEDICUS_PATHOGEN_SARS_COV_2_S_TO_CLASSICAL_PATHWAY_OF_COMPLEMENT_CASCADE",9.7741499923649,2,"Strong"
"KEGG_MEDICUS_PATHOGEN_SHIGELLA_IPAH7.8_TO_NLRP3_INFLAMMASOME_SIGNALING_PATHWAY",9.75944480954293,3,"Strong"
"KEGG_MEDICUS_ENV_FACTOR_NNK_TO_DNA_ADDUCTS",9.74536778176063,2,"Strong"
"KEGG_MEDICUS_REFERENCE_DOUBLE_STRAND_BREAK_SIGNALING",9.63499816334816,2,"Strong"
"KEGG_MEDICUS_REFERENCE_LECTIN_PATHWAY_OF_COAGULATION_CASCADE_FIBRINOGEN_TO_FIBRIN",9.6218294685974,2,"Strong"
"KEGG_ALZHEIMERS_DISEASE",9.53811861564705,2,"Strong"
"KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION",9.37123639465862,2,"Strong"
"BIOCARTA_VOBESITY_PATHWAY",9.31051177137682,3,"Strong"
"KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_UBIQUITINATION_OF_RTK_BY_CBL",9.11345233699634,2,"Strong"
"KEGG_PYRIMIDINE_METABOLISM",9.0436888004534,2,"Strong"
"KEGG_MEDICUS_REFERENCE_STEROID_HORMONE_BIOSYNTHESIS_PROGESTERONE_TO_CORTISOL_CORTISONE",9.01193154741767,4,"Strong"
"KEGG_MEDICUS_PATHOGEN_EBV_LMP1_TO_PI3K_SIGNALING_PATHWAY",8.99896875234747,2,"Strong"
"KEGG_MEDICUS_PATHOGEN_SHIGELLA_IPAB_C_D_TO_ITGA_B_TALIN_VINCULIN_SIGNALING_PATHWAY",8.99493570758143,2,"Strong"
"KEGG_MEDICUS_REFERENCE_WNT5A_ROR_SIGNALING_PATHWAY",8.960089577771,2,"Strong"
"KEGG_MEDICUS_REFERENCE_SEROTONIN_METABOLISM",8.86450674566368,4,"Strong"
"KEGG_MEDICUS_REFERENCE_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY",8.75323560974941,2,"Strong"
"KEGG_MEDICUS_REFERENCE_ESTABLISHMENT_OF_COHESION",8.73455850689516,2,"Strong"
"BIOCARTA_SUMO_PATHWAY",8.67790017719872,2,"Strong"
"BIOCARTA_TCRA_PATHWAY",8.66128709743337,3,"Strong"
"KEGG_MEDICUS_REFERENCE_ANXA2_S100A10_REGULATED_ACTIN_CYTOSKELETON",8.52798911764468,2,"Strong"
"BIOCARTA_ALK_PATHWAY",8.43365555399636,2,"Strong"
"KEGG_HOMOLOGOUS_RECOMBINATION",8.42902004062044,2,"Strong"
"BIOCARTA_TGFB_PATHWAY",8.41832137856157,2,"Strong"
"BIOCARTA_CCR5_PATHWAY",8.38424633031552,2,"Strong"
"KEGG_ALLOGRAFT_REJECTION",8.32090429612734,2,"Strong"
"KEGG_MEDICUS_VARIANT_AML1_ETO_FUSION_TO_PU.1_MEDIATED_TRANSCRIPTION",8.22989992407673,2,"Strong"
"BIOCARTA_FREE_PATHWAY",8.13568349570501,2,"Strong"
"KEGG_GRAFT_VERSUS_HOST_DISEASE",8.08594903459371,2,"Strong"
"BIOCARTA_TCYTOTOXIC_PATHWAY",8.08355506568471,2,"Strong"
"KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_MTORC1_PI3KC3_C1",7.97201092987851,2,"Strong"
"KEGG_MEDICUS_PATHOGEN_HIV_VPR_TO_WEE1_CELL_CYCLE_G2M",7.89118247911244,2,"Strong"
"KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING",7.87322394187792,2,"Strong"
"KEGG_MEDICUS_REFERENCE_CASR_PTH_SIGNALING_PATHWAY",7.76712032045874,2,"Strong"
"BIOCARTA_NKT_PATHWAY",7.74064329544227,2,"Strong"
"KEGG_MEDICUS_REFERENCE_ERK_RSK_SIGNALING",7.61637677362755,2,"Strong"
"BIOCARTA_PEPI_PATHWAY",7.56497884629083,2,"Strong"
"KEGG_MEDICUS_REFERENCE_N_GLYCAN_PRECURSOR_BIOSYNTHESIS_ALG6_TO_OST",7.51020502300064,2,"Strong"
"KEGG_PRIMARY_IMMUNODEFICIENCY",7.39376867295466,2,"Strong"
"KEGG_MEDICUS_REFERENCE_MICROTUBULE_DEPOLYMERIZATION",7.24594494544063,2,"Strong"
"KEGG_HISTIDINE_METABOLISM",7.21557384030876,2,"Strong"
"BIOCARTA_TH1TH2_PATHWAY",7.20194236535774,2,"Strong"
"BIOCARTA_ASBCELL_PATHWAY",7.17542401547296,3,"Strong"
"BIOCARTA_GPCR_PATHWAY",7.15296124127378,2,"Strong"
"BIOCARTA_DC_PATHWAY",7.09971974762163,2,"Strong"
"KEGG_MEDICUS_REFERENCE_PLASMIN_MEDIATED_ACTIVATION_OF_LATENT_TGF_BETA",6.98240250819688,2,"Strong"
"BIOCARTA_HDAC_PATHWAY",6.85849235363367,3,"Strong"
"KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY",6.79512919475022,2,"Strong"
"KEGG_MEDICUS_REFERENCE_RAD51_DSDNA_DESTABILIZATION",6.78308751404553,2,"Strong"
"KEGG_HEMATOPOIETIC_CELL_LINEAGE",6.68465980925665,2,"Strong"
"KEGG_TYPE_I_DIABETES_MELLITUS",6.6109156149077,2,"Strong"
"BIOCARTA_VDR_PATHWAY",6.60855401702328,2,"Strong"
"KEGG_MEDICUS_REFERENCE_BMP9_10_SIGNALING_PATHWAY",6.60641319596413,2,"Strong"
"KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_ERK_SIGNALING_PATHWAY",6.59783240609583,2,"Strong"
"BIOCARTA_PLC_PATHWAY",6.51083440875043,2,"Strong"
"KEGG_MEDICUS_REFERENCE_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_LINKAGE_TETRASACCHARIDE",6.45464734573295,2,"Strong"
"KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPB_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY",6.40935058066127,2,"Strong"
"BIOCARTA_GSK3_PATHWAY",6.40466766923682,2,"Strong"
"BIOCARTA_THELPER_PATHWAY",6.37216898146852,2,"Strong"
"KEGG_MEDICUS_PATHOGEN_EBV_EBNA3C_TO_P27_CELL_CYCLE_G1_S_N00264",6.33057934392338,2,"Strong"
"KEGG_MEDICUS_REFERENCE_BREAK_INDUCED_REPLICATION",6.31961686349382,3,"Strong"
"KEGG_CELL_ADHESION_MOLECULES_CAMS",6.31211097959467,3,"Strong"
"BIOCARTA_AMAN_PATHWAY",6.25465119019061,2,"Strong"
"BIOCARTA_NKCELLS_PATHWAY",6.1936718288671,2,"Strong"
"KEGG_MEDICUS_PATHOGEN_HCMV_UL33_TO_GNAI_AC_PKA_SIGNALING_PATHWAY",6.16103625911645,2,"Strong"
"BIOCARTA_KREB_PATHWAY",6.08033691768331,2,"Strong"
"KEGG_MEDICUS_PATHOGEN_EBV_EBNA3C_TO_CELL_CYCLE_G1_S_N00483",6.07749560808415,2,"Strong"
"KEGG_MEDICUS_PATHOGEN_SHIGELLA_IPGD_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY",6.06895436271787,2,"Strong"
"KEGG_MEDICUS_REFERENCE_TYPE_I_IFN_SIGNALING_PATHWAY",6.00339709087486,2,"Strong"
"KEGG_MEDICUS_REFERENCE_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_II_MOLECULES",5.98206511354472,3,"Positive"
"KEGG_LEISHMANIA_INFECTION",5.97052415527852,3,"Positive"
"BIOCARTA_EGFR_SMRTE_PATHWAY",5.9643237503757,2,"Positive"
"KEGG_MEDICUS_PATHOGEN_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_II",5.90342031980082,2,"Positive"
