"","TCGA-05-4244-01A","TCGA-05-4249-01A","TCGA-05-4250-01A","TCGA-05-4382-01A","TCGA-05-4384-01A","TCGA-05-4389-01A","TCGA-05-4390-01A","TCGA-05-4395-01A","TCGA-05-4396-01A","TCGA-05-4397-01A","TCGA-05-4398-01A","TCGA-05-4402-01A","TCGA-05-4403-01A","TCGA-05-4405-01A","TCGA-05-4410-01A","TCGA-05-4415-01A","TCGA-05-4417-01A","TCGA-05-4418-01A","TCGA-05-4420-01A","TCGA-05-4422-01A","TCGA-05-4424-01A","TCGA-05-4425-01A","TCGA-05-4426-01A","TCGA-05-4427-01A","TCGA-05-4430-01A","TCGA-05-4432-01A","TCGA-05-4433-01A","TCGA-05-4434-01A","TCGA-05-5420-01A","TCGA-05-5423-01A","TCGA-05-5425-01A","TCGA-05-5428-01A","TCGA-05-5429-01A","TCGA-05-5715-01A","TCGA-35-3615-01A","TCGA-35-4122-01A","TCGA-35-4123-01A","TCGA-35-5375-01A","TCGA-38-4625-01A","TCGA-38-4626-01A","TCGA-38-4627-01A","TCGA-38-4628-01A","TCGA-38-4629-01A","TCGA-38-4630-01A","TCGA-38-4631-01A","TCGA-38-4632-01A","TCGA-38-6178-01A","TCGA-38-7271-01A","TCGA-38-A44F-01A","TCGA-44-2655-01A"
"KEGG_PROTEASOME",0.326749453,-0.294511911,0.592743408,-0.219062436,-0.490681447,0.514432392,0.300501083,0.624610485,-0.36557086,0.558727649,0.341082544,0.337854156,-0.070225933,-0.662662672,-0.422153509,0.598651165,-0.239869155,0.57118679,-0.11265868,-0.22490128,0.342144392,0.030627682,-0.437795894,-0.032289407,-0.09070719,0.327070261,-0.422681052,0.328319822,0.473187277,0.321016424,0.559818294,0.556621378,0.411443689,0.343817657,0.40530289,0.601136405,0.588409519,0.652886983,0.588241358,-0.315916968,-0.0360572,0.495648957,0.55041807,0.300757197,0.622332101,0.510960132,0.357375086,-0.582130236,-0.521043348,0.551278269
"KEGG_RIBOSOME",0.302526608,-0.14065911,0.418788723,-0.490452673,-0.554309042,0.457247666,0.410541261,0.791214487,-0.584905474,-0.556877569,0.22330841,-0.626469164,0.53096282,-0.618611797,-0.793622657,0.483213466,0.037186163,0.623451315,0.610840404,0.342598548,-0.628998845,0.439372919,0.648122326,-0.165316062,0.487323204,-0.327527406,-0.57235829,-0.209391648,0.607431674,0.6154757,0.569729413,0.786649905,0.660550455,-0.278247581,0.841008461,0.705059153,0.680031702,0.812363679,0.328620096,-0.432287189,0.490265563,0.56267502,0.580765744,0.283027525,0.505920408,0.70131089,-0.348758111,0.536054931,-0.282399381,0.402594708
"KEGG_MEDICUS_REFERENCE_DEPHOSPHORYLATION_OF_KINETOCHORE",0.164951246,-0.675380072,0.666085354,-0.481357474,-0.853809356,0.535679196,0.614596233,0.450058198,-0.155690335,0.676688335,0.455128375,-0.020404478,-0.125820523,-0.495191462,-0.37869914,0.551583072,-0.073582521,0.446726797,0.739211393,-0.19850471,0.480445827,-0.048427682,-0.442475666,0.428752841,-0.200194025,0.534498888,-0.366288977,-0.279100457,0.526731276,-0.034107534,0.525195839,0.609480379,0.499872504,0.04342723,-0.675963162,0.617598426,0.678584326,0.7038437,0.761802788,-0.626494999,-0.373164941,0.50936264,0.572001009,0.658320413,0.767352733,0.735134483,-0.498379376,-0.328827062,-0.731750462,-0.65863823
"KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION",0.311421981,-0.091279117,0.414011411,-0.492389276,-0.565790953,0.477690579,0.39291566,0.817049265,-0.605340079,-0.570665075,0.248602732,-0.643689365,0.505276922,-0.608797592,-0.793313239,0.496943026,0.044223642,0.625515921,0.617016365,0.333816625,-0.632439141,0.432192396,0.654270861,-0.144320399,0.501219363,-0.274440222,-0.580154424,-0.270484177,0.596657962,0.628789572,0.580866168,0.808733508,0.637372923,-0.287132942,0.85124503,0.702900387,0.682919725,0.814657187,0.316245893,-0.467841839,0.497882202,0.561339736,0.583018704,0.307340918,0.494618497,0.709021846,-0.317028943,0.574299935,-0.329297787,0.355478176
"KEGG_MEDICUS_ENV_FACTOR_PHIP_TO_DNA_ADDUCTS",0.716038246,0.104899886,-0.611401768,0.462692994,0.822839618,0.382554573,-0.685477557,0.552137831,-0.42153224,-0.540952553,-0.705394191,0.670395093,-0.165361152,0.355587644,-0.770250767,-0.577936136,-0.48809309,-0.807414757,0.84745449,0.69556197,-0.157912007,-0.78107523,0.242033147,-0.460941728,-0.592306484,-0.315947594,-0.603033405,-0.143716876,-0.318023694,0.881742739,-0.552859462,0.534367671,0.42359733,-0.653877378,0.809669854,0.31642237,-0.705213783,-0.574931099,-0.38201335,0.790456432,-0.548619881,0.209360261,-0.785224608,-0.825365326,-0.414937759,-0.567021469,-0.736694931,-0.439834025,0.520652223,0.580305945
"KEGG_MEDICUS_REFERENCE_CENPE_INTERACTION_WITH_NDC80_COMPLEX",0.195061885,-0.697914135,0.635124343,-0.434648692,-0.815800741,0.421490491,0.620079451,0.452956465,-0.057801094,0.706663055,0.397862047,-0.212710134,-0.392015615,-0.617535319,-0.311198872,0.625699341,-0.073582521,0.52191501,0.702380911,0.055489491,0.524236004,-0.006945632,-0.412774848,0.418906027,-0.345826436,0.537911314,-0.371410335,-0.082166525,0.535329388,-0.066393109,0.592039744,0.670968995,0.488778095,-0.073136231,-0.654552146,0.508312622,0.625833695,0.63602763,0.765890797,-0.593174431,-0.531315334,0.244898081,0.491888874,0.656183887,0.703658708,0.699245916,-0.566492384,-0.483775373,-0.749775365,-0.671121938
"KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION",0.390438657,-0.315862505,0.573877039,-0.22759038,-0.444790498,0.406705747,0.369054428,0.64647804,-0.355721052,0.588604322,0.415759265,0.341630878,-0.166767327,-0.650897625,-0.579248192,0.673963729,-0.346182249,0.584007809,0.196804845,-0.261853168,0.272887935,-0.041490934,-0.432444794,-0.099700062,-0.108865159,0.415477785,-0.562259244,0.182323135,0.438940311,0.351504177,0.559943847,0.612281521,0.487792725,0.398231831,0.402811545,0.60163683,0.559681855,0.687803498,0.605481148,-0.354682393,0.046612835,0.543166081,0.537507143,0.322146399,0.651429628,0.562975208,0.475174734,-0.599135328,-0.610874351,0.56913821
"KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_OUTER_KINETOCHORE",0.240795096,-0.571884408,0.501133377,-0.156202006,-0.689390244,0.424646379,0.483552638,0.234030286,-0.465884577,0.695359398,-0.062376744,-0.137809031,-0.534379308,-0.602976657,-0.414397522,0.435279651,-0.507466922,0.298504462,0.517835827,0.164754855,-0.272996866,-0.203042826,-0.429142889,-0.170496254,-0.35333704,0.41260018,-0.326663973,0.281029832,0.491293889,0.285755558,0.489727827,0.570708377,0.349229425,0.062093729,-0.410596254,0.317668017,0.48934761,0.566434797,0.614968521,-0.669806876,-0.481728064,0.389760476,0.476044275,0.622619037,0.61698583,0.471088774,-0.481314173,-0.556683314,-0.659298989,-0.238659545
"KEGG_MEDICUS_REFERENCE_FE3_FERRITIN_TRANSPORT",0.125988524,0.126262982,0.058377696,0.617553885,0.633737602,0.885950237,-0.018677253,0.598606938,0.004075883,-0.031309212,0.682805385,0.328200824,0.684276424,-0.104526861,-0.073896959,0.140247971,0.240259046,0.425516557,-0.257150591,0.560588288,0.585507173,0.630368576,0.582326833,-0.003643672,0.47198412,0.17947953,0.754153381,0.139870709,0.699630064,0.646666065,0.608319047,0.722159473,0.507044997,0.771320609,0.6079008,0.794280891,0.634522843,0.696530767,0.650604808,0.735905761,0.527564739,0.732854897,0.722638275,-0.233035301,0.653578947,0.635074751,-0.65739237,0.075673149,-0.502071464,0.529930895
"KEGG_MEDICUS_REFERENCE_RECRUITMENT_AND_FORMATION_OF_THE_MCC",0.002617565,-0.79150133,0.685583259,-0.405178551,-0.924352613,0.328073578,0.577830418,0.347023378,-0.271053296,0.690856576,0.419659485,-0.323336733,-0.350897626,-0.637311029,-0.51848276,0.754721404,-0.059301381,0.4922023,0.68498962,0.133134759,0.328089117,-0.100718541,-0.314002549,0.593139367,-0.557354209,0.484768545,0.265157423,0.395334547,0.490761835,-0.338894882,0.539293468,0.600900449,0.441619326,-0.435006484,-0.842092166,0.668877684,0.595687804,0.596667085,0.780575864,-0.638894699,-0.476626547,0.116788709,0.597455418,0.685874595,0.710894485,0.62463181,-0.564608127,-0.489304089,-0.720720911,-0.770610611
