"Pathway","Variance"
"KEGG_MEDICUS_REFERENCE_STEROID_HORMONE_BIOSYNTHESIS_PROGESTERONE_TO_CORTISOL_CORTISONE",0.381151778907346
"KEGG_MEDICUS_ENV_FACTOR_PHIP_TO_DNA_ADDUCTS",0.334008258582613
"KEGG_MEDICUS_REFERENCE_MODIFYING_OF_CONDENSIN_I_SUBUNITS",0.305417250202613
"KEGG_MEDICUS_REFERENCE_RECRUITMENT_AND_FORMATION_OF_THE_MCC",0.29642025047827
"BIOCARTA_SLRP_PATHWAY",0.292241336901782
"KEGG_MEDICUS_PATHOGEN_KSHV_MIR1_2_TO_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_I_MOLECULES",0.28879441336656
"KEGG_MEDICUS_REFERENCE_SEROTONIN_METABOLISM",0.28813123942976
"KEGG_MEDICUS_REFERENCE_REGULATION_OF_COMPLEMENT_CASCADE_CFHR",0.282449903976572
"KEGG_MEDICUS_PATHOGEN_HTLV_1_P12_TO_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_I_MOLECULES",0.280825466674066
"KEGG_MEDICUS_PATHOGEN_HIV_VPR_TO_WEE1_CELL_CYCLE_G2M",0.27218006691515
"KEGG_MEDICUS_REFERENCE_HEDGEHOG_SIGNALING_PATHWAY_HH_LIGAND_SECRETION",0.270789175697849
"KEGG_MEDICUS_PATHOGEN_HPV_E5_TO_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_I_MOLECULES",0.268324977878954
"KEGG_MEDICUS_REFERENCE_CENPE_INTERACTION_WITH_NDC80_COMPLEX",0.26548728158079
"KEGG_MEDICUS_REFERENCE_DEPHOSPHORYLATION_OF_KINETOCHORE",0.262802949774813
"KEGG_MEDICUS_ENV_FACTOR_NNK_TO_DNA_ADDUCTS",0.261813155421673
"BIOCARTA_DICER_PATHWAY",0.258814558684041
"KEGG_MEDICUS_REFERENCE_MODIFYING_OF_CONDENSIN_II_SUBUNITS",0.257502132083209
"KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION",0.256439795438509
"KEGG_RIBOSOME",0.251972461296317
"KEGG_MEDICUS_REFERENCE_TRANSPORT_OF_CALCIUM",0.251155737022041
"KEGG_MEDICUS_REFERENCE_ANXA2_S100A10_REGULATED_ACTIN_CYTOSKELETON",0.248506635454881
"BIOCARTA_TCAPOPTOSIS_PATHWAY",0.243025787402741
"KEGG_MEDICUS_REFERENCE_BETA_OXIDATION_PEROXISOME_VLCFA",0.236846792271897
"BIOCARTA_TUBBY_PATHWAY",0.235176500412106
"BIOCARTA_CTL_PATHWAY",0.234979367753921
"KEGG_MEDICUS_PATHOGEN_SARS_COV_2_S_TO_CLASSICAL_PATHWAY_OF_COMPLEMENT_CASCADE",0.233708765876461
"KEGG_MEDICUS_REFERENCE_BREAK_INDUCED_REPLICATION",0.231568843158339
"KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_III",0.229134870138534
"KEGG_MEDICUS_REFERENCE_LECTIN_PATHWAY_OF_COAGULATION_CASCADE_FIBRINOGEN_TO_FIBRIN",0.229068969137174
"KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION",0.22510005703662
"KEGG_MEDICUS_REFERENCE_WEE1_CELL_CYCLE_G2_M",0.224523265806955
"KEGG_MEDICUS_VARIANT_AML1_ETO_FUSION_TO_PU.1_MEDIATED_TRANSCRIPTION",0.223861910975552
"KEGG_MEDICUS_REFERENCE_LEWIS_X_ANTIGEN_BIOSYNTHESIS",0.222685586280792
"BIOCARTA_TCRA_PATHWAY",0.220634357155899
"KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_INNER_KINETOCHORE",0.220251715167897
"KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING",0.220059175470857
"KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_SRF_MEDIATED_TRANSCRIPTION",0.217985302659587
"KEGG_MEDICUS_PATHOGEN_SARS_COV_2_S_N_TO_LECTIN_PATHWAY_OF_COAGULATION_CASCADE",0.214596144043887
"KEGG_MEDICUS_REFERENCE_REGULATION_OF_FIBRINOLYTIC_SYSTEM_PAI",0.212458923308133
"KEGG_MEDICUS_REFERENCE_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_II_MOLECULES",0.211737642254979
"KEGG_MEDICUS_REFERENCE_TYROSINE_DEGRADATION",0.211613964607245
"KEGG_MEDICUS_REFERENCE_PYRIN_INFLAMMASOME_SIGNALING_PATHWAY",0.209981991401001
"KEGG_MEDICUS_REFERENCE_NLRP1_INFLAMMASOME_SIGNALING_PATHWAY",0.20979672262511
"BIOCARTA_BBCELL_PATHWAY",0.207962422355362
"KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION",0.207574568110039
"BIOCARTA_SM_PATHWAY",0.20703534193693
"KEGG_MEDICUS_REFERENCE_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_I_MOLECULES",0.204633853662772
"BIOCARTA_THELPER_PATHWAY",0.204545871805842
"BIOCARTA_ASBCELL_PATHWAY",0.204462340201331
"KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_OUTER_KINETOCHORE",0.204214619631365
"KEGG_MEDICUS_REFERENCE_RORA_MEDIATED_TRANSCRIPTION",0.20364825099852
"BIOCARTA_TCYTOTOXIC_PATHWAY",0.202891203173296
"BIOCARTA_EOSINOPHILS_PATHWAY",0.201857423415808
"KEGG_GRAFT_VERSUS_HOST_DISEASE",0.201003312227862
"KEGG_AUTOIMMUNE_THYROID_DISEASE",0.199921791858452
"KEGG_MEDICUS_REFERENCE_NALP12_INFLAMMASOME_SIGNALING_PATHWAY",0.19818432096098
"KEGG_MEDICUS_REFERENCE_NON_CANONICAL_INFLAMMASOME_SIGNALING_PATHWAY",0.197513323832064
"BIOCARTA_MITR_PATHWAY",0.197426947195295
"KEGG_MEDICUS_REFERENCE_NLRC4_INFLAMMASOME_SIGNALING_PATHWAY",0.196823740162216
"KEGG_MEDICUS_REFERENCE_TRAIP_DEPENDENT_REPLISOME_DISASSEMBLY",0.196280074969208
"BIOCARTA_NO2IL12_PATHWAY",0.195713880346505
"BIOCARTA_MCM_PATHWAY",0.195545685057049
"KEGG_MEDICUS_REFERENCE_PLASMIN_MEDIATED_ACTIVATION_OF_LATENT_TGF_BETA",0.195092273607369
"KEGG_ALLOGRAFT_REJECTION",0.193902135580337
"KEGG_MEDICUS_REFERENCE_SIALYL_LEWIS_X_ANTIGEN_BIOSYNTHESIS",0.193723310710239
"BIOCARTA_DC_PATHWAY",0.1922042499692
"KEGG_MEDICUS_ENV_FACTOR_NICOTINE_TO_JAK_STAT_SIGNALING_PATHWAY",0.190943194063484
"KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_NFY_MEDIATED_TRANSCRIPTION",0.190376786955481
"KEGG_MEDICUS_REFERENCE_CDC25_CELL_CYCLE_G2_M",0.190024589680301
"KEGG_MEDICUS_REFERENCE_MANNOSE_TYPE_O_GLYCAN_BIOSYNTHESIS_POMT_TO_POMK",0.186612080585836
"KEGG_MEDICUS_REFERENCE_REGULATION_OF_COMPLEMENT_CASCADE_MAC_INHIBITION",0.186464394708334
"KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION",0.185957208185541
"KEGG_MEDICUS_REFERENCE_COMMON_PATHWAY_OF_COMPLEMENT_CASCADE_MAC_FORMATION",0.185730035027876
"BIOCARTA_PROTEASOME_PATHWAY",0.184759441276199
"KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION",0.183236049310625
"KEGG_MEDICUS_PATHOGEN_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_II",0.183115931552407
"KEGG_ASTHMA",0.182692928145604
"KEGG_MEDICUS_PATHOGEN_SHIGELLA_IPAB_C_D_TO_ITGA_B_TALIN_VINCULIN_SIGNALING_PATHWAY",0.182005629382869
"KEGG_MEDICUS_REFERENCE_TESTOSTERONE_BIOSYNTHESIS",0.181823861956694
"KEGG_MEDICUS_REFERENCE_LONG_PATCH_BER",0.181255946906354
"BIOCARTA_RANMS_PATHWAY",0.180718872779301
"KEGG_MEDICUS_REFERENCE_INACTIVATION_OF_CONDENSIN_I",0.180171747637193
"KEGG_MEDICUS_PATHOGEN_HTLV_1_P12_TO_JAK_STAT_SIGNALING_PATHWAY",0.179755595405022
"KEGG_MEDICUS_REFERENCE_ERK_RSK_SIGNALING",0.179726342757705
"KEGG_MEDICUS_REFERENCE_COHESIN_ACETYLATION",0.179656194280439
"KEGG_MEDICUS_REFERENCE_NLRP3_INFLAMMASOME_SIGNALING_PATHWAY",0.179520006710281
"KEGG_MEDICUS_REFERENCE_CLASSICAL_PATHWAY_OF_COMPLEMENT_CASCADE_C4_C2_TO_C3_CONVERTASE_FORMATION",0.17780019066764
"KEGG_MEDICUS_REFERENCE_UCHL1_MEDIATED_HYDROLYSIS",0.176708509104207
"KEGG_MEDICUS_REFERENCE_LECTIN_PATHWAY_OF_COAGULATION_CASCADE_PROTHROMBIN_TO_THROMBIN",0.176398862824381
"BIOCARTA_PELP1_PATHWAY",0.175978096879247
"BIOCARTA_LECTIN_PATHWAY",0.175726184024074
"KEGG_MEDICUS_ENV_FACTOR_METALS_TO_KEAP1_NRF2_SIGNALIG_PATHWAY",0.175582630986855
"KEGG_MEDICUS_REFERENCE_NUCLEAR_INITIATED_PROGESTERONE_SIGNALING_PATHWAY",0.175305071551831
"KEGG_MEDICUS_REFERENCE_TNFSF10_RIPK1_3_SIGNALING_PATHWAY",0.17455227110509
"BIOCARTA_ION_PATHWAY",0.174436678505953
"KEGG_MEDICUS_PATHOGEN_EBV_EBNA3C_TO_CELL_CYCLE_G1_S_N00484",0.174410498818974
"KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_ESPJ_TO_IGG_FCGR_RAC_SIGNALING_PATHWAY",0.173986254492513
"KEGG_MEDICUS_REFERENCE_OKAZAKI_FRAGMENT_MATURATION",0.173666842522765
"KEGG_MEDICUS_PATHOGEN_HPV_E7_TO_P27_CELL_CYCLE_G1_S",0.173460876147968
"KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_IV",0.173402241629389
"KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV",0.17301733985603
"KEGG_MEDICUS_REFERENCE_BMP9_10_SIGNALING_PATHWAY",0.173012892278163
"BIOCARTA_CTLA4_PATHWAY",0.172965660719486
"KEGG_MEDICUS_REFERENCE_BLOOD_GROUP_H_O_ANTIGEN_TYPE_1_BIOSYNTHESIS",0.171440959455233
"KEGG_MEDICUS_REFERENCE_UREA_CYCLE",0.170132301476874
"KEGG_MEDICUS_REFERENCE_TELOMERASE_RNA_MATURATION",0.169834046640421
"KEGG_MEDICUS_REFERENCE_KERATAN_SULFATE_DEGRADATION",0.169313729174343
"BIOCARTA_PLCD_PATHWAY",0.168819533767751
"KEGG_MEDICUS_REFERENCE_BCR_PLCG_ITPR_SIGNALING_PATHWAY",0.168176548085001
"BIOCARTA_EXTRINSIC_PATHWAY",0.167786999210611
"BIOCARTA_SUMO_PATHWAY",0.167725619443055
"KEGG_MEDICUS_REFERENCE_PRL_JAK_STAT_SIGNALING_PATHWAY",0.167600985201702
"BIOCARTA_BLYMPHOCYTE_PATHWAY",0.167527533319264
"KEGG_DNA_REPLICATION",0.167254804781879
"KEGG_MEDICUS_REFERENCE_CD40_NFKB_SIGNALING_PATHWAY",0.166915734617863
"KEGG_MEDICUS_REFERENCE_ALTERNATIVE_PATHWAY_OF_COMPLEMENT_CASCADE_C3B_BREAKDOWN",0.166689938829461
"KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_TIR_TO_TLR2_4_MAPK_SIGNALING_PATHWAY",0.166167303381666
"KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION",0.166141828713434
"BIOCARTA_BOTULIN_PATHWAY",0.166114070611922
"KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS",0.165911157852851
"BIOCARTA_NEUTROPHIL_PATHWAY",0.165500159252716
"KEGG_MEDICUS_REFERENCE_CA2_ENTRY_LIGAND_GATED_CA2_CHANNEL",0.164436608636397
"BIOCARTA_S1P_PATHWAY",0.164415091176678
"BIOCARTA_MHC_PATHWAY",0.164393533938481
"KEGG_MEDICUS_REFERENCE_REGULATION_OF_NLRP3_INFLAMMASOME_SIGNALING_PATHWAY_NLRP3_INHIBITION",0.164362450763773
"BIOCARTA_BARD1_PATHWAY",0.164141870359254
"KEGG_MEDICUS_PATHOGEN_SHIGELLA_FIMA_TO_CROSSTALK_BETWEEN_EXTRINSIC_AND_INTRINSIC_APOPTOTIC_PATHWAYS",0.164070731688148
"KEGG_PROTEASOME",0.163980199358476
"KEGG_MEDICUS_REFERENCE_CASR_PTH_SIGNALING_PATHWAY",0.163780423994531
"BIOCARTA_ACETAMINOPHEN_PATHWAY",0.163697512283914
"BIOCARTA_CPSF_PATHWAY",0.163598252347529
"BIOCARTA_ETC_PATHWAY",0.16352687615084
"KEGG_MEDICUS_REFERENCE_EGF_JAK_STAT_SIGNALING_PATHWAY",0.163428601998882
"KEGG_MEDICUS_REFERENCE_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_LINKAGE_TETRASACCHARIDE",0.163427861858452
"BIOCARTA_PEPI_PATHWAY",0.163392979140115
"BIOCARTA_RARRXR_PATHWAY",0.163205081911377
"BIOCARTA_IL5_PATHWAY",0.161059865526142
"BIOCARTA_RHODOPSIN_PATHWAY",0.16093428759668
"KEGG_MEDICUS_PATHOGEN_HIV_VPR_TO_CDC25_CELL_CYCLE_G2M",0.16042054750017
"KEGG_MEDICUS_PATHOGEN_HCMV_UL33_TO_GNAQ_PLCB_G_CALCINEURIN_SIGNALING_PATHWAY",0.160383939473099
"KEGG_MEDICUS_REFERENCE_NOTCH_MESP2_SIGNALING",0.160059688264684
"KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION_IN_ICLR",0.159394622034034
"KEGG_MEDICUS_REFERENCE_GLUTATHIONE_BIOSYNTHESIS",0.158788527778413
"KEGG_MEDICUS_PATHOGEN_EBV_EBNA3C_TO_P27_CELL_CYCLE_G1_S_N00482",0.158584332970226
"KEGG_MEDICUS_REFERENCE_ESTABLISHMENT_OF_COHESION",0.158376567786065
"BIOCARTA_IFNA_PATHWAY",0.157697758510122
"BIOCARTA_RECK_PATHWAY",0.157210805200955
"KEGG_MEDICUS_REFERENCE_GLYCOGEN_DEGRADATION_AMYLASE_",0.156811376897728
"KEGG_MEDICUS_PATHOGEN_SHIGELLA_IPAH7.8_TO_NLRP3_INFLAMMASOME_SIGNALING_PATHWAY",0.156546755490353
"KEGG_MEDICUS_PATHOGEN_KSHV_MIR2_TO_CELL_SURFACE_MOLECULE_ENDOCYTOSIS",0.156204286298686
"KEGG_MEDICUS_REFERENCE_HEPARAN_SULFATE_DEGRADATION",0.156151583101707
"BIOCARTA_STEM_PATHWAY",0.156031256645986
"KEGG_HOMOLOGOUS_RECOMBINATION",0.155555248081047
"KEGG_MEDICUS_ENV_FACTOR_BENZO_A_PYRENRE_TO_CYP_MEDIATED_METABOLISM",0.154875309330816
"KEGG_MEDICUS_REFERENCE_GH_JAK_STAT_SIGNALING_PATHWAY",0.153852812605307
"KEGG_MEDICUS_REFERENCE_TYPE_I_IFN_SIGNALING_PATHWAY",0.153737175226326
"BIOCARTA_FOSB_PATHWAY",0.153446640919963
"KEGG_MEDICUS_REFERENCE_CHOLESTEROL_BIOSYNTHESIS",0.153054605196838
