"Pathway","Module"
"KEGG_PROTEASOME","Module_1"
"KEGG_RIBOSOME","Module_2"
"KEGG_MEDICUS_REFERENCE_DEPHOSPHORYLATION_OF_KINETOCHORE","Module_3"
"KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION","Module_2"
"KEGG_MEDICUS_ENV_FACTOR_PHIP_TO_DNA_ADDUCTS","Module_4"
"KEGG_MEDICUS_REFERENCE_CENPE_INTERACTION_WITH_NDC80_COMPLEX","Module_3"
"KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","Module_1"
"KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_OUTER_KINETOCHORE","Module_5"
"KEGG_MEDICUS_REFERENCE_FE3_FERRITIN_TRANSPORT","Module_6"
"KEGG_MEDICUS_REFERENCE_RECRUITMENT_AND_FORMATION_OF_THE_MCC","Module_3"
"KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS","Module_7"
"BIOCARTA_DICER_PATHWAY","Module_4"
"KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION","Module_8"
"KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION","Module_8"
"BIOCARTA_PAR1_PATHWAY","Module_4"
"KEGG_PARKINSONS_DISEASE","Module_7"
"KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG","Module_6"
"KEGG_MEDICUS_REFERENCE_MODIFYING_OF_CONDENSIN_I_SUBUNITS","Module_3"
"BIOCARTA_PROTEASOME_PATHWAY","Module_1"
"KEGG_MEDICUS_REFERENCE_LONG_PATCH_BER","Module_8"
"KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_III","Module_7"
"BIOCARTA_SKP2E2F_PATHWAY","Module_9"
"KEGG_MEDICUS_REFERENCE_HEDGEHOG_SIGNALING_PATHWAY_HH_LIGAND_SECRETION","Module_4"
"BIOCARTA_SM_PATHWAY","Module_1"
"BIOCARTA_MRP_PATHWAY","Module_4"
"KEGG_MEDICUS_ENV_FACTOR_ZN_TO_ANTEROGRADE_AXONAL_TRANSPORT","Module_10"
"BIOCARTA_TCAPOPTOSIS_PATHWAY","Module_6"
"BIOCARTA_TUBBY_PATHWAY","Module_4"
"KEGG_HUNTINGTONS_DISEASE","Module_7"
"BIOCARTA_PTC1_PATHWAY","Module_5"
"KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_INNER_KINETOCHORE","Module_5"
"KEGG_MEDICUS_REFERENCE_COHESIN_ACETYLATION","Module_3"
"KEGG_MEDICUS_REFERENCE_KINETOCHORE_MICROTUBULE_ATTACHMENT","Module_10"
"KEGG_MEDICUS_REFERENCE_MICROTUBULE_DEPOLYMERIZATION_AT_THE_MINUS_ENDS","Module_10"
"KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION","Module_11"
"KEGG_MEDICUS_REFERENCE_CA2_ENTRY_STORE_OPERATED_CA2_CHANNEL","Module_4"
"SA_REG_CASCADE_OF_CYCLIN_EXPR","Module_9"
"KEGG_MEDICUS_REFERENCE_ITGA_B_TALIN_VINCULIN_SIGNALING_PATHWAY","Module_4"
"KEGG_MEDICUS_REFERENCE_UCHL1_MEDIATED_HYDROLYSIS","Module_2"
"BIOCARTA_MITR_PATHWAY","Module_4"
"KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I","Module_7"
"KEGG_MEDICUS_REFERENCE_P27_CELL_CYCLE_G1_S","Module_9"
"KEGG_MEDICUS_REFERENCE_REGULATION_OF_EXTRINSIC_APOPTOTIC_PATHWAY_XIAP","Module_4"
"KEGG_MEDICUS_REFERENCE_PYRIN_INFLAMMASOME_SIGNALING_PATHWAY","Module_6"
"KEGG_DNA_REPLICATION","Module_8"
"KEGG_TASTE_TRANSDUCTION","Module_4"
"KEGG_MEDICUS_REFERENCE_OKAZAKI_FRAGMENT_MATURATION","Module_8"
"BIOCARTA_MCM_PATHWAY","Module_11"
"KEGG_MEDICUS_REFERENCE_BETA_OXIDATION_PEROXISOME_VLCFA","Module_4"
"BIOCARTA_CTL_PATHWAY","Module_6"
"BIOCARTA_MELANOCYTE_PATHWAY","Module_4"
"KEGG_OXIDATIVE_PHOSPHORYLATION","Module_7"
"BIOCARTA_RANKL_PATHWAY","Module_4"
