"Pathway","Module","PC1_Loading"
"KEGG_PROTEASOME","Module_1",-0.507164801585174
"KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","Module_1",-0.513458216624175
"BIOCARTA_PROTEASOME_PATHWAY","Module_1",-0.507823510858001
"BIOCARTA_SM_PATHWAY","Module_1",-0.470382616211576
"KEGG_RIBOSOME","Module_2",-0.595932738793488
"KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION","Module_2",-0.595865061816646
"KEGG_MEDICUS_REFERENCE_UCHL1_MEDIATED_HYDROLYSIS","Module_2",-0.538339111471884
"KEGG_MEDICUS_REFERENCE_DEPHOSPHORYLATION_OF_KINETOCHORE","Module_3",-0.461032558437425
"KEGG_MEDICUS_REFERENCE_CENPE_INTERACTION_WITH_NDC80_COMPLEX","Module_3",-0.470705969318374
"KEGG_MEDICUS_REFERENCE_RECRUITMENT_AND_FORMATION_OF_THE_MCC","Module_3",-0.469426833450857
"KEGG_MEDICUS_REFERENCE_MODIFYING_OF_CONDENSIN_I_SUBUNITS","Module_3",-0.461752586384631
"KEGG_MEDICUS_REFERENCE_COHESIN_ACETYLATION","Module_3",-0.363741484453035
"KEGG_MEDICUS_ENV_FACTOR_PHIP_TO_DNA_ADDUCTS","Module_4",-0.0744827300102787
"BIOCARTA_DICER_PATHWAY","Module_4",-0.353383321804934
"BIOCARTA_PAR1_PATHWAY","Module_4",-0.385929112610575
"KEGG_MEDICUS_REFERENCE_HEDGEHOG_SIGNALING_PATHWAY_HH_LIGAND_SECRETION","Module_4",-0.263513158627798
"BIOCARTA_MRP_PATHWAY","Module_4",-0.12434569383461
"BIOCARTA_TUBBY_PATHWAY","Module_4",-0.362803116918455
"KEGG_MEDICUS_REFERENCE_CA2_ENTRY_STORE_OPERATED_CA2_CHANNEL","Module_4",-0.143648663300507
"KEGG_MEDICUS_REFERENCE_ITGA_B_TALIN_VINCULIN_SIGNALING_PATHWAY","Module_4",-0.161765331780651
"BIOCARTA_MITR_PATHWAY","Module_4",0.0188154566319772
"KEGG_MEDICUS_REFERENCE_REGULATION_OF_EXTRINSIC_APOPTOTIC_PATHWAY_XIAP","Module_4",-0.206040933447754
"KEGG_TASTE_TRANSDUCTION","Module_4",-0.316233559275664
"KEGG_MEDICUS_REFERENCE_BETA_OXIDATION_PEROXISOME_VLCFA","Module_4",-0.279680047671682
"BIOCARTA_MELANOCYTE_PATHWAY","Module_4",-0.425807477926033
"BIOCARTA_RANKL_PATHWAY","Module_4",-0.234430550089038
"KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_OUTER_KINETOCHORE","Module_5",-0.587921172793772
"BIOCARTA_PTC1_PATHWAY","Module_5",-0.541329742655287
"KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_INNER_KINETOCHORE","Module_5",-0.601091344387487
"KEGG_MEDICUS_REFERENCE_FE3_FERRITIN_TRANSPORT","Module_6",0.322266151530098
"KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG","Module_6",0.276132887847951
"BIOCARTA_TCAPOPTOSIS_PATHWAY","Module_6",0.539730125071897
"KEGG_MEDICUS_REFERENCE_PYRIN_INFLAMMASOME_SIGNALING_PATHWAY","Module_6",0.478162478205965
"BIOCARTA_CTL_PATHWAY","Module_6",0.547674348817375
"KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS","Module_7",-0.406496533235533
"KEGG_PARKINSONS_DISEASE","Module_7",-0.40944003103488
"KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_III","Module_7",-0.406874455739803
"KEGG_HUNTINGTONS_DISEASE","Module_7",-0.408319055384606
"KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I","Module_7",-0.407960489070158
"KEGG_OXIDATIVE_PHOSPHORYLATION","Module_7",-0.410385666279354
"KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION","Module_8",-0.448525108590892
"KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION","Module_8",-0.447118811417838
"KEGG_MEDICUS_REFERENCE_LONG_PATCH_BER","Module_8",-0.452244404252357
"KEGG_DNA_REPLICATION","Module_8",-0.455245723091152
"KEGG_MEDICUS_REFERENCE_OKAZAKI_FRAGMENT_MATURATION","Module_8",-0.432592563354334
"BIOCARTA_SKP2E2F_PATHWAY","Module_9",0.576840114345455
"SA_REG_CASCADE_OF_CYCLIN_EXPR","Module_9",0.564786286914839
"KEGG_MEDICUS_REFERENCE_P27_CELL_CYCLE_G1_S","Module_9",0.590145687601691
"KEGG_MEDICUS_ENV_FACTOR_ZN_TO_ANTEROGRADE_AXONAL_TRANSPORT","Module_10",0.569841057389688
"KEGG_MEDICUS_REFERENCE_KINETOCHORE_MICROTUBULE_ATTACHMENT","Module_10",0.581566916899103
"KEGG_MEDICUS_REFERENCE_MICROTUBULE_DEPOLYMERIZATION_AT_THE_MINUS_ENDS","Module_10",0.580569625868831
"KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION","Module_11",-0.707106781186548
"BIOCARTA_MCM_PATHWAY","Module_11",-0.707106781186547
